;ID;Nom complet;Classific;Diamètre estimé (m) ;Densité estimée;Masse
48;a0490581;490581 (2009 WZ104);Sq; 485 ; 2,7 ;26897
7;a0162173;162173 Ryugu (1999 JU3);Cg; 630 ; 1,4 ;30112
9;a0207945;207945 (1991 JW);B; 657 ; 1,4 ;34152
2;a0089136; 89136 (2001 US16);X; 434 ; 5,3 ;37952
3;a0099942;99942 Apophis (2004 MN4);Sq; 547 ; 2,7 ;38600
29;a0424482;424482 (2008 DG5);Sq; 599 ; 2,7 ;50828
18;a0329437;329437 (2002 OA22);S; 628 ; 2,7 ;58433
15;a0292220;292220 (2006 SU49);Sr; 628 ; 2,7 ;58433
27;a0416186;416186 (2002 TD60);Q; 654 ; 2,7 ;66154
0;a0003361;3361 Orpheus (1982 HR);S; 744 ; 2,7 ;97395
;;;;;;
;;;;;;
;;;;;;
;;;;;;
32;a0433953;433953 (1997 XR2);X; 345 ; 5,3 ;19064
78;bK01Q34C;(2001 QC34);Q; 434 ; 2,7 ;19332
19;a0341843;341843 (2008 EV5);Sk; 476 ; 2,7 ;25506
