,id,full_name,diameter_clean,est_volume,est_density,est_mass_th_tonnes,Unnamed: 0,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
303,bK12F35X,       (2012 FX35),33.0,18816.569198676065,1.38,4.512474964401664,303,C,4512474.964401663,1060431.6166343908,4512.474964401664,4512.474964401664,749070.8440906762,902494.9928803327,63174.64950162329,9024.949928803328,0.0,0.0,0.0,0.0,0.0
236,bK10K07V,       (2010 KV7),30.0,14137.166941154068,1.38,3.4716695759936886,236,C,3471669.575993689,815842.3503585168,3471.669575993689,3471.669575993689,576297.1496149524,694333.9151987378,48603.37406391165,6943.339151987378,0.0,0.0,0.0,0.0,0.0
511,bK16T55G,       (2016 TG55),30.0,14137.166941154068,1.38,2.870216916759717,511,C,2870216.9167597173,674500.9754385335,2870.216916759717,2870.216916759717,476456.0081821131,574043.3833519435,40183.03683463604,5740.433833519434,0.0,0.0,0.0,0.0,0.0
479,bK16EF6J,       (2016 EJ156),33.0,18816.569198676065,1.38,4.3096234402384415,479,Cb,4309623.440238441,1012761.5084560337,4309.623440238442,4309.623440238442,357698.74553979066,430962.34402384417,30167.36408166909,4309.623440238442,0.0,0.0,0.0,0.0,0.0
604,bK18A03G,       (2018 AG3),30.0,14137.166941154068,1.38,3.4047395550121125,604,K,3404739.5550121125,800113.7954278464,3404.7395550121128,3404.7395550121128,282593.38306600536,340473.9555012113,23833.176885084788,3404.7395550121128,0.0,0.0,0.0,0.0,0.0
371,bK14H02O,       (2014 HO2),30.0,14137.166941154068,1.38,3.2722625858961623,371,K,3272262.5858961623,768981.707685598,3272.2625858961624,3272.2625858961624,271597.7946293815,327226.2585896163,22905.838101273137,3272.2625858961624,0.0,0.0,0.0,0.0,0.0
204,bK09D04N,       (2009 DN4),30.0,14137.166941154068,1.38,3.2362445863953813,204,K,3236244.586395381,760517.4778029146,3236.2445863953817,3236.2445863953817,268608.3006708167,323624.45863953815,22653.71210476767,3236.2445863953817,0.0,0.0,0.0,0.0,0.0
607,bK18A11W,       (2018 AW11),31.0,15598.53112384892,1.38,3.193263919073363,607,D,3193263.9190733638,0.0,0.0,0.0,0.0,73.44507013868736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,bK16B14W,       (2016 BW14),33.0,18816.569198676065,1.38,4.3222509726742,468,B,4322250.9726742,1015728.978578437,4322.2509726742,4322.2509726742,43222509.726742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,bK16V01S,       (2016 VS1),33.0,18816.569198676065,1.38,4.305544458254862,516,T,4305544.458254862,0.0,0.0,0.0,25833266.749529168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
