;id;full_name;diameter_clean;est_volume;est_density;est_mass_th_tonnes;Unnamed: 0;new_spec;est_mass;hydrogen_kg;nitrogen_kg;ammonia_kg;iron_kg;water_kg;nickel_kg;cobalt_kg;magnesium silicate_kg;iron silicate_kg;aluminum_kg;nickel-iron_kg;platinum_kg
651;bK18R05O;       (2018 RO5);36.0;24429.02447431423;1.38;5.2373830675584925;651;C;5237383.0675584925;1230785.0208762456;5237.383067558492;5237.383067558492;869405.5892147098;1047476.6135116986;73323.3629458189;10474.766135116985;0.0;0.0;0.0;0.0;0.0
560;bK17H03S;       (2017 HS3);36.0;24429.02447431423;1.38;5.233878772969957;560;C;5233878.772969957;1229961.51164794;5233.878772969958;5233.878772969958;868823.876313013;1046775.7545939916;73274.3028215794;10467.757545939916;0.0;0.0;0.0;0.0;0.0
210;bK09H60E;       (2009 HE60);36.0;24429.02447431423;1.38;5.169277419559788;210;C;5169277.419559788;1214780.19359655;5169.277419559788;5169.277419559788;858100.0516469248;1033855.4839119576;72369.88387383704;10338.554839119575;0.0;0.0;0.0;0.0;0.0
409;bK15DK0K;       (2015 DK200);36.0;24429.02447431423;1.38;5.134492500129192;409;C;5134492.500129192;1206605.73753036;5134.492500129192;5134.492500129192;852325.7550214459;1026898.5000258384;71882.89500180869;10268.985000258384;0.0;0.0;0.0;0.0;0.0
583;bK17S17V;       (2017 SV17);34.5;21500.863771627693;1.38;5.017839373431268;583;C;5017839.373431268;1179192.252756348;5017.8393734312685;5017.8393734312685;832961.3359895905;1003567.8746862536;70249.75122803776;10035.678746862535;0.0;0.0;0.0;0.0;0.0
303;bK12F35X;       (2012 FX35);33.0;18816.569198676065;1.38;4.512474964401664;303;C;4512474.964401663;1060431.6166343908;4512.474964401664;4512.474964401664;749070.8440906762;902494.9928803327;63174.64950162329;9024.949928803328;0.0;0.0;0.0;0.0;0.0
236;bK10K07V;       (2010 KV7);30.0;14137.166941154068;1.38;3.4716695759936886;236;C;3471669.575993689;815842.3503585168;3471.669575993689;3471.669575993689;576297.1496149524;694333.9151987378;48603.37406391165;6943.339151987378;0.0;0.0;0.0;0.0;0.0
511;bK16T55G;       (2016 TG55);30.0;14137.166941154068;1.38;2.870216916759717;511;C;2870216.9167597173;674500.9754385335;2870.216916759717;2870.216916759717;476456.0081821131;574043.3833519435;40183.03683463604;5740.433833519434;0.0;0.0;0.0;0.0;0.0
321;bK12UD6X;       (2012 UX136);36.0;24429.02447431423;1.38;5.653092364151569;321;Cb;5653092.36415157;1328476.705575619;5653.09236415157;5653.09236415157;469206.6662245803;565309.236415157;39571.64654906099;5653.09236415157;0.0;0.0;0.0;0.0;0.0
479;bK16EF6J;       (2016 EJ156);33.0;18816.569198676065;1.38;4.3096234402384415;479;Cb;4309623.440238441;1012761.5084560337;4309.623440238442;4309.623440238442;357698.74553979066;430962.34402384417;30167.36408166909;4309.623440238442;0.0;0.0;0.0;0.0;0.0
604;bK18A03G;       (2018 AG3);30.0;14137.166941154068;1.38;3.4047395550121125;604;K;3404739.5550121125;800113.7954278464;3404.7395550121128;3404.7395550121128;282593.38306600536;340473.9555012113;23833.176885084788;3404.7395550121128;0.0;0.0;0.0;0.0;0.0
371;bK14H02O;       (2014 HO2);30.0;14137.166941154068;1.38;3.2722625858961623;371;K;3272262.5858961623;768981.707685598;3272.2625858961624;3272.2625858961624;271597.7946293815;327226.2585896163;22905.838101273137;3272.2625858961624;0.0;0.0;0.0;0.0;0.0
204;bK09D04N;       (2009 DN4);30.0;14137.166941154068;1.38;3.2362445863953813;204;K;3236244.586395381;760517.4778029146;3236.2445863953817;3236.2445863953817;268608.3006708167;323624.45863953815;22653.71210476767;3236.2445863953817;0.0;0.0;0.0;0.0;0.0
607;bK18A11W;       (2018 AW11);31.0;15598.53112384892;1.38;3.193263919073363;607;D;3193263.9190733638;0.0;0.0;0.0;0.0;73.44507013868736;0.0;0.0;0.0;0.0;0.0;0.0;0.0
468;bK16B14W;       (2016 BW14);33.0;18816.569198676065;1.38;4.3222509726742;468;B;4322250.9726742;1015728.978578437;4322.2509726742;4322.2509726742;43222509.726742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
484;bK16F12P;       (2016 FP12);36.0;24429.02447431423;1.38;5.233614555978647;484;T;5233614.555978647;0.0;0.0;0.0;31401687.335871883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
516;bK16V01S;       (2016 VS1);33.0;18816.569198676065;1.38;4.305544458254862;516;T;4305544.458254862;0.0;0.0;0.0;25833266.749529168;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
