;id;full_name;diameter_clean; est_volume ; est_density ; est_mass_th_tonnes ; new_spec ; est_mass ; hydrogen_kg ; nitrogen_kg ; ammonia_kg ; iron_kg ; water_kg ; nickel_kg ; cobalt_kg ; magnesium silicate_kg ; iron silicate_kg ; aluminum_kg ; nickel-iron_kg ; platinum_kg 
583;bK17S17V;       (2017 SV17);34,5; 21 501 ; 1,4 ; 5,0 ; C ; 5 017 839 ; 1 179 192 ; 5 018 ; 5 018 ; 832 961 ; 1 003 568 ; 70 250 ; 10 036 ; -   ; -   ; -   ; -   ; -   
409;bK15DK0K;       (2015 DK200);36; 24 429 ; 1,4 ; 5,1 ; C ; 5 134 493 ; 1 206 606 ; 5 134 ; 5 134 ; 852 326 ; 1 026 899 ; 71 883 ; 10 269 ; -   ; -   ; -   ; -   ; -   
210;bK09H60E;       (2009 HE60);36; 24 429 ; 1,4 ; 5,2 ; C ; 5 169 277 ; 1 214 780 ; 5 169 ; 5 169 ; 858 100 ; 1 033 855 ; 72 370 ; 10 339 ; -   ; -   ; -   ; -   ; -   
560;bK17H03S;       (2017 HS3);36; 24 429 ; 1,4 ; 5,2 ; C ; 5 233 879 ; 1 229 962 ; 5 234 ; 5 234 ; 868 824 ; 1 046 776 ; 73 274 ; 10 468 ; -   ; -   ; -   ; -   ; -   
651;bK18R05O;       (2018 RO5);36; 24 429 ; 1,4 ; 5,2 ; C ; 5 237 383 ; 1 230 785 ; 5 237 ; 5 237 ; 869 406 ; 1 047 477 ; 73 323 ; 10 475 ; -   ; -   ; -   ; -   ; -   
321;bK12UD6X;       (2012 UX136);36; 24 429 ; 1,4 ; 5,7 ; Cb ; 5 653 092 ; 1 328 477 ; 5 653 ; 5 653 ; 469 207 ; 565 309 ; 39 572 ; 5 653 ; -   ; -   ; -   ; -   ; -   
97;bK03R11U;       (2003 RU11);38; 28 731 ; 1,4 ; 6,3 ; Cb ; 6 308 155 ; 1 482 416 ; 6 308 ; 6 308 ; 523 577 ; 630 816 ; 44 157 ; 6 308 ; -   ; -   ; -   ; -   ; -   
638;bK18L03O;       (2018 LO3);38; 28 731 ; 1,4 ; 6,6 ; K ; 6 611 982 ; 1 553 816 ; 6 612 ; 6 612 ; 548 794 ; 661 198 ; 46 284 ; 6 612 ; -   ; -   ; -   ; -   ; -   
419;bK15J03D;       (2015 JD3);38; 28 731 ; 1,4 ; 7,1 ; Ch ; 7 078 607 ; 1 663 473 ; 7 079 ; 7 079 ; 1 175 049 ; 1 415 721 ; 99 101 ; 14 157 ; -   ; -   ; -   ; -   ; -   
474;bK16CO6V;       (2016 CV246);39,5; 32 269 ; 1,4 ; 7,4 ; C ; 7 414 662 ; 1 742 446 ; 7 415 ; 7 415 ; 1 230 834 ; 1 482 932 ; 103 805 ; 14 829 ; -   ; -   ; -   ; -   ; -   
500;bK16N01D;       (2016 ND1);41,5; 37 423 ; 1,4 ; 8,1 ; K ; 8 121 052 ; 1 908 447 ; 8 121 ; 8 121 ; 674 047 ; 812 105 ; 56 847 ; 8 121 ; -   ; -   ; -   ; -   ; -   
376;bK14K39F;       (2014 KF39);41,5; 37 423 ; 1,4 ; 8,3 ; C ; 8 295 967 ; 1 949 552 ; 8 296 ; 8 296 ; 1 377 131 ; 1 659 193 ; 116 144 ; 16 592 ; -   ; -   ; -   ; -   ; -   
178;bK07Y01J;       (2007 YJ1);41,5; 37 423 ; 1,4 ; 8,6 ; C ; 8 596 567 ; 2 020 193 ; 8 597 ; 8 597 ; 1 427 030 ; 1 719 313 ; 120 352 ; 17 193 ; -   ; -   ; -   ; -   ; -   
278;bK11L02Z;       (2011 LZ2);41,5; 37 423 ; 1,4 ; 9,0 ; C ; 9 036 050 ; 2 123 472 ; 9 036 ; 9 036 ; 1 499 984 ; 1 807 210 ; 126 505 ; 18 072 ; -   ; -   ; -   ; -   ; -   
